app = Code
goal = click Makefile
expect = none
--
AXButton | Go Back (⌃-) | 454 52 | 22 22
AXCell | The seam is drawn, the portable side is written and runs on macOS behind a featu | 1027 -1212 | 856 56
AXCell | What is unknown | 1027 -1401 | 856 34
AXRow | Rule What happened | 757 4300 | 704 34
AXCell | Rule | 506 4300 | 202 34
AXCell | What happened | 858 4300 | 502 34
AXRow | Workspace boundary The first thing that wrote a file put it in this repository's | 757 4333 | 704 34
AXCell | Workspace boundary | 506 4333 | 202 34
AXCell | The first thing that wrote a file put it in this repository's root | 858 4333 | 502 34
AXRow | Read-only shell, by program A model reached for rm to get around a refusal | 757 4367 | 704 34
AXCell | Read-only shell, by program | 506 4367 | 202 34
AXCell | A model reached for rm to get around a refusal | 858 4367 | 502 34
AXRow | One cursor, one agent Two agents shared a WhatsApp chat and sent a voice note to | 757 4400 | 704 34
AXCell | One cursor, one agent | 506 4400 | 202 34
AXCell | Two agents shared a WhatsApp chat and sent a voice note to a real person | 858 4400 | 502 34
AXRow | Ask before replacing Self-evident, once | 757 4433 | 704 34
AXCell | Ask before replacing | 506 4433 | 202 34
AXCell | Self-evident, once | 858 4433 | 502 34
AXRow | Privacy guard A password manager is one frontmost window away at all times | 757 4467 | 704 34
AXCell | Privacy guard | 506 4467 | 202 34
AXCell | A password manager is one frontmost window away at all times | 858 4467 | 502 34
AXRow | Everything started is killed A dev server still holding port 3000 tomorrow would | 757 4500 | 704 34
AXCell | Everything started is killed | 506 4500 | 202 34
AXCell | A dev server still holding port 3000 tomorrow would be Nudge's fault | 858 4500 | 502 34
AXCell | Rule | 506 4300 | 202 34
AXCell | Workspace boundary | 506 4333 | 202 34
AXCell | Read-only shell, by program | 506 4367 | 202 34
AXCell | One cursor, one agent | 506 4400 | 202 34
AXCell | Ask before replacing | 506 4433 | 202 34
AXCell | Privacy guard | 506 4467 | 202 34
AXCell | Everything started is killed | 506 4500 | 202 34
AXCell | What happened | 858 4300 | 502 34
AXCell | The first thing that wrote a file put it in this repository's root | 858 4333 | 502 34
AXCell | A model reached for rm to get around a refusal | 858 4367 | 502 34
AXCell | Two agents shared a WhatsApp chat and sent a voice note to a real person | 858 4400 | 502 34
AXCell | Self-evident, once | 858 4433 | 502 34
AXCell | A password manager is one frontmost window away at all times | 858 4467 | 502 34
AXCell | A dev server still holding port 3000 tomorrow would be Nudge's fault | 858 4500 | 502 34
AXCell | Rule | 506 4300 | 202 34
AXCell | What happened | 858 4300 | 502 34
AXRow | Question State | 930 4718 | 1050 33
AXCell | Question | 760 4718 | 247 33
AXCell | State | 1169 4718 | 572 33
AXRow | make picks Does it choose the control you meant? 15 cases, offline, instant. Wro | 930 4762 | 1050 56
AXCell | make picks | 520 4762 | 231 56
AXCell | Does it choose the control you meant? | 760 4762 | 247 56
AXCell | 15 cases, offline, instant. Wrong picks reported separately from fall-throughs a | 1169 4762 | 572 56
AXRow | make bench Can a model find a control in a picture? 10 cases. Good for latency,  | 930 4818 | 1050 57
AXCell | make bench | 520 4818 | 231 57
AXCell | Can a model find a control in a picture? | 760 4818 | 247 57
AXCell | 10 cases. Good for latency, too small for accuracy, and measures the surface the | 1169 4818 | 572 57
AXRow | the timing line Where did this turn's time go? Every turn, every stage | 930 4862 | 1050 34
AXCell | the timing line | 520 4862 | 231 34
AXCell | Where did this turn's time go? | 760 4862 | 247 34
AXCell | Every turn, every stage | 1169 4862 | 572 34
AXRow | cargo run --example captime What does looking at the screen cost? On demand | 930 4906 | 1050 55
AXCell | cargo run --example captime | 520 4906 | 231 55
AXCell | What does looking at the screen cost? | 760 4906 | 247 55
AXCell | On demand | 1169 4906 | 572 55
AXCell | make picks | 520 4762 | 231 56
AXCell | make bench | 520 4818 | 231 57
AXCell | the timing line | 520 4862 | 231 34
AXCell | cargo run --example captime | 520 4906 | 231 55
AXCell | Question | 760 4718 | 247 33
AXCell | Does it choose the control you meant? | 760 4762 | 247 56
AXCell | Can a model find a control in a picture? | 760 4818 | 247 57
AXCell | Where did this turn's time go? | 760 4862 | 247 34
AXCell | What does looking at the screen cost? | 760 4906 | 247 55
AXCell | State | 1169 4718 | 572 33
AXCell | 15 cases, offline, instant. Wrong picks reported separately from fall-throughs a | 1169 4762 | 572 56
AXCell | 10 cases. Good for latency, too small for accuracy, and measures the surface the | 1169 4818 | 572 57
AXCell | Every turn, every stage | 1169 4862 | 572 34
AXCell | On demand | 1169 4906 | 572 55
AXCell | Question | 760 4718 | 247 33
AXCell | State | 1169 4718 | 572 33
AXMenuBarItem | Apple | 27 16 | 34 33
AXMenuBarItem | Code | 70 16 | 55 33
AXMenuBarItem | File | 118 16 | 42 33
AXMenuBarItem | Edit | 160 16 | 44 33
AXMenuBarItem | Selection | 220 16 | 77 33
AXMenuBarItem | View | 282 16 | 51 33
AXMenuBarItem | Go | 326 16 | 38 33
AXMenuBarItem | Run | 366 16 | 44 33
AXMenuBarItem | Terminal | 424 16 | 73 33
AXMenuBarItem | Window | 494 16 | 69 33
AXMenuBarItem | Help | 552 16 | 49 33
